Staff Group,Comment,No of Comments
Nursing and Midwifery Registered,"My answers are based on previous jobs within the trust as well as bank nurse roles I have undertaken over the past 2 years.  Overall I'm happy in my job/team, we have some wonderful staff in the NHS!  Unfortunately, there is increased micro managing of staff/less flexibility (in some teams) lately.  This is causing staff to feel unhappy in their jobs and results in high turn over of staffing.  This, in turn, effects staff morale and ultimately impacts patient care.",1
Nursing and Midwifery Registered,My comment is to reduce number of managers on certain meetings and delegate appropriate according to banding rather than all bands attending all meetings and increase working time for all to allow a better work life balance and sharing of appropriate work loads and allowing teams to have some responsibility and autonomy in their own areas.,1
Nursing and Midwifery Registered,"My current manager [name removed] in mid Mersey first response is the best manager I have worked for in many years, so supportive and approachable, they are a credit to Mersey care and that is such a breath of fresh air after leaving a team where the managers are unapproachable and bully the staff -it was raised with senior leadership team but I do not believe they see the accurate picture.",1
Nursing and Midwifery Registered,"My direct line manager is amazing and is one of the only reasons I remain in my current role.  They are beyond supportive and I feel they are an excellent manager.  I have previously been burnt out and had time off for this.  I did not feel ready to come back, but had no choice but to do so.  My manager has been as supportive as possible, but I feel I am already reaching burnout again.  We are understaffed, underpaid and underappreciated.  We are put in situations we shouldn't have to go into and we are expected to go into palliative dying patients and have no support following deaths, we are just expected to carry on and go to the next patient.  There is no facility to have an outlet for issues we are experiencing at work in terms of having monthly meetings with a registered mental health professional to debrief on the situations we deal with.  The counselling provided through occupational health is not beneficial and I found it did not help me at all.  In our team we have a multitude of issues with regards to parking, with staff regularly having to pay out to park to see patients and/or getting fines.  This increases overall negativity and stress.  I feel stressed at work, but we don't receive enough pay for what we do and more and more expectations are put on us.  I have a lease vehicle and feel it is actually an extortionate amount for a vehicle.  I feel we are not considered as community staff who have to travel for work so our mileage has to be higher, in comparison to colleagues who just commute to and from work.  I like my team, but I live 15 miles away from base and the amount spent on petrol is just increasing.  The morale overall is shocking, we cannot retain staff and the boundaries different teams cover need to be established as it is stressful trying to handover out of area patients, with other teams refusing even though they have patients on their caseloads in that area.",1
Nursing and Midwifery Registered,"My immediate team are incredible, and my line managers are wonderful.  They have been really supportive of me both professionally and personally, and created a psychologically safe space for me to speak about challenges and mental health problems and their causes.  However, what the trust does, and what it says it does as a whole are not compatible, and the chasm is growing.  There have been a number of times when I have tried to raise issues, and been told that's not your fight or it's only one person, it's only one team despite the fact it may be symptomatic of wider problems in the trust.  Many people have told me that they do not feel safe speaking up, because they believe they will be targeted on the back of it, do not believe in safety or anonymity through surveys, F2SU, etc.  What this trust could be is absolutely phenomenal, but there are certain areas and levels of management who are unwilling or unable to accept feedback and/or change.  There is apathy in large parts of middle management, and this risks spreading like rot.  It needs to change so that we can all reach our potential as our staff and patients deserve.",1
Nursing and Midwifery Registered,"My immediate team is great and very supportive, however senior management and the trust are less supportive and we feel like just a number to cover shifts rather than actual people.  We feel listened to but rarely do we feel we have had our concerns acted upon and we're just listened to to placate us.  I would recommend to work with my team and for family to come to where I work however I would not recommend the organisation as an employer.  I have had external training opportunities declined numerous times and feel like there isn't the support for growth in my job in terms of learning and training to enable me to be confident in my knowledge to stay up to date on developments and guidelines for my role.",1
Nursing and Midwifery Registered,"My job has improved over the past 6 months, I feel this is due to new manager who is very supportive.  The survey does not capture change in management that can either have a negative or effect on our job roles.  If new manager was not in post my answers would have been very different and less positive.  I would suggest questions regarding new management to capture this information.",1
Nursing and Midwifery Registered,"My organisation is monopolising the NW as such the options of where t work are incredibly limited for a large area.  Mersey care are too big and they are unable to staff there sites.  Its unsafe and a terrible trust to work for, but choices of joining any neighbouring trust is limited to GMMH or CWP- Not everyone drives or has transport.  Mersey care has made sure there are no other trusts around in reasonable distance so anyone in Merseyside and surrounding towns has to work for them if you want to work in the NHS.  This should be a crime to monopolise healthcare.",1
Nursing and Midwifery Registered,My organisation is strongly focused on reporting which takes a great deal of time away from direct patient care on a daily basis.  The organisation is introducing a vast amount of changes which is hard to keep up with.  Several Pilot schemes have been introduced within my team without any prior information being disseminated or a discussion from/with the senior managers.,1
Nursing and Midwifery Registered,My team is classed as being fully staffed but the team is running at full capacity day in and day out.  The majority of staff are still on EMIS catching up on documentation in the evenings as even the band [number removed] take a list of visits on a high weighting.  It feels unsafe and it feels as though patients are not getting thorough assessments.  Incidents happen and quite often the reason behind them is lack of staff but nothing seems to change.  The quota for staff seems dated but the complexity of patients and the diversity of the area that we cover is very demanding.  I feel that if staff and patients were valued then staffing levels would be increased to ensure that patient centred care could be carried out.,1
Nursing and Midwifery Registered,My team is extremely micromanaged which often makes the job challenging at times.,1
Nursing and Midwifery Registered,My team is very supportive and welcoming.,1
Nursing and Midwifery Registered,"My work life balance has now improved since we have been able to work 2x long days per week, I found that my work life balance was negatively impacted when I was unable to work this shift pattern.",1
Nursing and Midwifery Registered,Need family friendly working hours.,1
Nursing and Midwifery Registered,"Need more staff especially nurses, SALT and psychologists.",1
Nursing and Midwifery Registered,New systems and processes are being introduced with very limited inaccessible support and training due to work pressures disabilities etc.  The organisation makes tokenistic claims and statements but these are not being implemented effectively in the divisions.  KPI's and new system targets are making this job unbearable.  There has been a significant reduction in support for clinical staff to do their jobs.  New systems and processes keep being brought in by I'm and the trust to make trust exec lives easier but they are making staff's lives harder.  This trust is becoming a horrible environment to work in which is sad because I used to be really passionate about this trust but it feels like support services are more interested in looking good and winning awards for themselves than supporting clinical services.  The trust feels very separate and working in isolated ways.  Integration needs to be prioritised and supported more than it is.,1
Nursing and Midwifery Registered,"No continuity with leadership teams, too many management changes, too frequently which impacts on creating a cohesive teams.  Listening to other Mersey care colleagues who verbalise lack of support, increased work loads and not listened to.",1
Nursing and Midwifery Registered,No further comments thanks.,1
Nursing and Midwifery Registered,No I am happy with working condition at the moment.,1
Nursing and Midwifery Registered,"None at present, We have a new amazing Team leader at present.",1
Nursing and Midwifery Registered,None at this time.,1
Nursing and Midwifery Registered,Not enough in-patient beds.  Patients who should be detained in hospital not been admitted due to a lack of beds.  Patients discharged from hospital without a coherent care plan.  Very little psychology input.  Poor personal safety resources for community staff.  Very little support worker input.  Lack of clinical supervision for junior/newly qualified staff and new starters.,1
Nursing and Midwifery Registered,Nursing has changed so much over the years- I have been a nurse for many years and used to love my job.  Policies have taken over nurses using their own clinical judgement and I feel newly qualified staff have a fear of everything and feel they have to do absolutely everything in one consultation with their patients for fear of missing something and being penalised- I feel this will lead to burn out at a much earlier age as they all appear so stressed.,1
Nursing and Midwifery Registered,Ongoing issues with staffing which means extra work for us on top of our caseload.  Very frequent staff sickness which I feel sometimes some colleagues can take very last minute sickness and possibly abuse the sickness system- taking sickness when not necessary suitable to e.g. childcare issues whilst other members of staff go above and beyond to ensure this is not an issue and are more committed to their role.,1
Nursing and Midwifery Registered,"Organisation is good, but organisation, like many, is a little too preoccupied with popular culture, WOKE idealism and positive discrimination for (and against) people.  I'd prefer to see a greater service-efficacy related focus.  Work should be about work really.",1
Nursing and Midwifery Registered,Organisation should be more adaptive to older workers and those that transitioned from the Whalley site and adapted to the changes and extended working hours due to driving each end of the shift making the day extra long.  Maybe offer earlier retirement to those staff members.,1
Nursing and Midwifery Registered,"Over the last year the service has changed and working hours, this had a massive impact on myself due to childcare responsibility's.  I personally felt that although the trust said you don't have to change your hours, that was not genuine.  We were put through multiple meetings with senior managers and told we had to be flexible and questioned on family dynamics and why we couldn't comply with change of working hours.  Given dates from senior mangers when I would have an answer to flexible working request for them not to reply by this deadline and me have to chase them for a response.  I spent months thinking I would have to leave a job that I love as was unable to comply with change of hours as no childcare.  I feel as a mental health trust the communication has been terrible and not caring about there staff one bit.",1
Nursing and Midwifery Registered,Over the years the bar has been gradually lowered and the standard required at each band has drastically lowered resulting in large discrepancies in nursing care.  More priority is put on certificates gained rather than relevant and appropriate experience for the role.  This is evident at every level within the service.,1
Nursing and Midwifery Registered,"Overall a good place to work, only negatives is financial.  The clinics have poor equipment and wage is poor.  Supportive colleagues and management.  Flexible working is a bonus.  Workload seems to be increasing, documentation wise, put more a strain on the job it's self.",1
Nursing and Midwifery Registered,"People are burnt out, inpatient services are beyond crisis.  Soon there will be no staff.",1
Nursing and Midwifery Registered,Person centred employer to work within.,1
Nursing and Midwifery Registered,"Please implement e health roster so we can see our shifts.  Please make longer timeslots for patients so we don't rush, ESP for new patients onboarding.",1
Nursing and Midwifery Registered,Poor leadership.  Not able to speak up.  Challenging.  Not listened to.  Very defensive.,1
Nursing and Midwifery Registered,"Poor staffing in other areas impacts upon areas where staffing is good which in turn causes an impact to the services that have the appropriate staff to do their work.  The constant request for staff from our service affects the staffing in our team which increases stress, impacts our KPI, effects the service service provision and prevents us from achieving set targets.",1
Nursing and Midwifery Registered,Pt lists can be very busy were we do not have time for dinner very stressful.,1
Nursing and Midwifery Registered,Really enjoying my job on [name removed] ward my deputy manager [name removed] and manager [name removed] are always there when I need advice and guide me in the right direction.  They are very helpful and I love all the staff on the ward who have all helped and supported me in my new role.,1
Nursing and Midwifery Registered,Recently started - really enjoying.,1
Nursing and Midwifery Registered,Respect and civility is extremely poor at the moment amongst staff.,1
Nursing and Midwifery Registered,Responses to questions relating bullying/harassment relate specifically to behaviours of [number removed] members of staff within the team.,1
Nursing and Midwifery Registered,"Same comments every year.  Nothing changes.  No progression unless friends with senior managers.  Interview's often unfair in that they already know who is getting the job.  Or, in my case; didn't get the job because a newly qualified middle aged person could remember policies off the top of their head, whereas, I and menopausal and struggled with that.  Never mind the fact that quoting policies is rote learning, rather than genuine understanding of policies and how to use them.  10 years of doing my job well has led to nothing but disappointment and now genuine apathy.",1
Nursing and Midwifery Registered,"Same issues never resolved within the team.  Under staffed constantly, relying on bank and historically agency to stay afloat.  Very complex patients.  Escalating for more than 3 years the same concerns to operational managers yet we are still struggling with no sign of improvement.  Staff retention is poor due to working conditions in this trust within District Nursing.  Operational managers with no District Nursing background overseeing the service when they don't understand the sheer amount of extra work we put in.",1
Nursing and Midwifery Registered,School health is never listed as a choice in registered nurses.,1
Nursing and Midwifery Registered,Senior leadership team causing significant distress amongst team and encroaching on role of our direct and line managers in a negative way.,1
Nursing and Midwifery Registered,Senior leadership teams need looking into and investigating.  They are extremely corrupt and as a whole are absolute bully's.,1
Nursing and Midwifery Registered,"Senior management make decisions about organisational changes which directly affect my role.  They will often invite us to meetings but job pressures occasionally prevent attendance.  Decisions are often made despite our objections.  Senior management continue to expand the organisation by taking on roles from other organisations, without adequately assessing the impact this will have on the staff whom are expected to undertake those roles.",1
Nursing and Midwifery Registered,"Senior Managers are mainly concerned with meeting government targets, and 'ticking boxes' rather than genuine commitment to good quality patient care.",1
Nursing and Midwifery Registered,Since merging with the trust I feel that some of the good working practices have not been taken on board and dismissed for the changes to be the previous ways that Merseycare worked.  The systems that we work with mainly the sickness line is impersonal to use and I would prefer to speak to a human and my manager about my sickness.  I feel that my work life balance remains unmet.,1
Nursing and Midwifery Registered,"SLT are absent from the 'front line' of our healthcare setting, and appear to have little understanding of what is involved in the day-to-day care of service users.  Many of the tasks dictated by SLT have minimal impact on improving care and the service we provide.  They are instead bureaucratic and 'box-ticking' duties, from which there is little to no feedback.  SLT do not appear to have their priorities aligned and will frequently communicate different concerns which apparently require addressing immediately.  It feels like the next day there is a new concern which then takes precedence.",1
Nursing and Midwifery Registered,Some times the organisation care about ticking boxes rather than their patients and staff.,1
Nursing and Midwifery Registered,"Something to note on the qualifications I have dual qualifications, nursing and social worker.  Please add that on the survey drop box.  Thank you.",1
Nursing and Midwifery Registered,"Staff mobilisation policy causes uncertainty, feeling that I am just a ""number"" who can be moved around.  Disregards the Trust's pledge for ""perfect care"" by moving nurses to work in other teams in roles that they don't know to fill staffing gaps.  Nurses cannot provide perfect care if they are moved to another team or area to work at short notice with minimal or no induction to the role.  I am always anxious about the possibility of being moved to work in a different team / area where I am expected to know my role without sufficient induction / shadowing / training etc.  I think this practice is unsafe and contributes to staff burn out, low morale and sickness.",1
Nursing and Midwifery Registered,Staff morale within the service has deteriorated since the trust was taken over by a much larger trust.  Management no longer interacts in a positive way and does not involve staff in decision making about the service.,1
Nursing and Midwifery Registered,"Staffing issues need to be addressed as every shift is dangerous.  Upper management need a presence on the wards to help support staff and patients.  The only engagement with upper management with staff is if there is any is when errors have been made.  They are no incentives for staff to work extra shifts/hours.  Other organisations offer over time for any additional shifts epically if wards are understaffed, I have personally been offered over time once in my 4 years of working within the trust.  Safe staffing levels of a night are constantly dangerously low, I feel the trust should review the use of agency nurses especially to support regular permanent nurses of a night for extra support.",1
Nursing and Midwifery Registered,"Staffing levels / Role Responsibilities.  - The staffing levels seriously in pact on the delivery of care we can provide and often the staffing levels fall short of the patient demand/need.  Staffing shortages on all levels from band 3/band 5/band 6.  -Furthermore when staffing level's are short, there is a lot of added pressure on the team which affects the safety of the wards.  Mistakes have happened as a result of high acuity and staffing shortfalls.  The general impression on the wards is that staff are burnt out, medication errors occur as a result of being stretched and pulled in multiple directions, high incidents of violence and aggression / self harm and no staff to adequately respond.  -The pay structure on the lower levels needs reviewing, people are caring and want to make a difference but with the job stress and exposer to serious incidents, I don't believe staff are paid to compensate the challenges of working in acute wards, there are easier jobs paying a fraction less then a band 3.  Whereby they wouldn't have to cope or deal with patient with high care demand needs.  -The daily operation of the wards requires two nurses to ensure all duties are requirements are met however more often then not your working alone.  - The list of jobs and paperwork needs reviewing as sometimes you are inputting the same data on serval documents.  OT.  Their is a lack of OT presence on the ward and this is often covered by NA's, meaningful activates are often a challenge to deliver as a result..  Breaks.  - On a regular basis there is only one nurse on shift and they do not get to take a break that they are legally entitled to, resulting in rest breaks being taken from wages when the nurse has not been able to leave the ward.  - Managers have stated to nurse that they should be more organised and bring in their own food, but are disregarding the fact that lunch breaks are a legal requirement and should not be imposing how the rest breaks are taken..  Work load pressure.  - The workload pressure and work demands/responsibilities when more often then not, working on limited numbers becomes impossible to achieve and things are getting missed, physical health checks are not always completed.  Environmental checks are missed, on days where service is affected staff are encouraged to complete RADAR'S to highlight this however this creates more of a work load on a day where you are already stretched thin..  Diet and fluids.  -The food for the patients is poor and I know this probably will not change but if I was a patient and that was the food I was to eat every day whilst struggling with my mental health, would probably make me feel awful, they are poorly made and look unappetizing, they are basically cheap microwave meals.  As we know a healthy balance diet and do you the world of good but a lot of people raise issues with the standard of the quality of the food and has been poor for years.  Values of the trust.  It's not all negative and from my experience the ward and team at Mersey care do appear to have a heart of gold and really appears to cares about their patients and this is displayed on all levels, from on the ground with NA's showing compassion and empathy for their patients, to going above and beyond, often doing extra work/additional hours, raising concerns to safeguard and protect their patients wellbeing.  There is a genuine warmth and care form a lot of people throughout the whole hospital.  I am proud to work for the NHS.  I just wouldn't be doing my job if not to raise the concerns that we often face as a team and the affects this has on the deliver/standard of care.  The ward dose have some strong management and they often are observed on the floor, implementing ideas on change and in addressing some of these challenges.  They are strong leaders who you can tell care about how the ward operates...  Bed demand.  Sometimes patients are admitted into the same bed where we have someone on leave resulting in a bed not being available to the initial person admitted into it.  Risk.  If the ward continues to run on low staffing, we are setting everybody up to fail.  There should be some serious consideration to the pine spine as I don't believe people are paid enough or have an incentive to stay on the wards when they can find work else where that pays similar or more with less work life stress.  The wards staffing has decreased dramatically since I first joined the trust and is reflected on all levels.  I do believe the trust has good progression routes and has a just and fair learning culture but retention appears to be a massive issue, for the reasons outlined in the above.",1
Nursing and Midwifery Registered,Staffing levels and the shortage of male nurses are reducing efficiency in the delivery of daily care in our services.,1
Nursing and Midwifery Registered,Staffing levels are a nationwide problem.  I do not feel enough is done to address this to make nursing more appealing.,1
Nursing and Midwifery Registered,"Started employment in Mersey Care this year, love my team and have been well supported.",1
Nursing and Midwifery Registered,"Stressed workforce, no staff, staff off sick.  Limited communication from senior managers, they change all the time and we don't know who they are especially from band 8 level upwards.",1
Nursing and Midwifery Registered,Teams within the locality need to provide more support to the district nursing service.  The demand on district nurses is like never before.  It is driving staff away and when raised to higher management no feedback is received.,1
Nursing and Midwifery Registered,"The current management structure is not supportive of family needs.  There is an element of bullying behaviour within the management structure.  I have sourced a new job, and I cannot wait to leave the team.",1
Nursing and Midwifery Registered,"The demands from the Trust for ever increasing documentation/templates to be completed weighs heavily on the staff, increasing time pressures with patient appointment slot's - as we are also finding patients are presenting with more complex needs and problems.  This needs addressing as it is the same issues that would make staff want to leave their job.  Practice Nurses are very task orientated and do not delve or deal with patient's additional problems during their consultations?",1
Nursing and Midwifery Registered,The internationally recruited nurses in the community care are rarely given opportunity to progress.  When applying for jobs you get feedbacks that you don't have experience but you have answered all questions well.  Some places even failed to send you feedback on an interview you did.,1
Nursing and Midwifery Registered,"The job I do is non patient facing.  The actual work is fine, however I do really feel staff are not listened to.  There is little opportunity for career development.",1
Nursing and Midwifery Registered,"The lack of support, the lack of insight into/understanding of team needs and the very poor communication from senior management team (8a/8b/8c and higher) is just appalling, disheartening and demoralising.  The core values of Mersey Care have been severely lacking in the past year by our senior management team.",1
Nursing and Midwifery Registered,The main cause for concern is the work load and unrealistic expectations in district nursing. I spend many hours completing my paperwork from home instead of spending time doing homework or spending time with my child.  The work load has caused many arguments in my personal.  Life with my partner as he feels I'm always working and never present.,1
Nursing and Midwifery Registered,"The NHS as a whole is in crisis, as we are all very much aware.  After 30 plus years as a registered nurse I have seen my role and responsibilities increase dramatically from that for which I was trained, and without the motivating financial reward.  Commissioning means trusts are ""chasing pots of gold"" and spreading staff across services resulting in increased workloads and reductions in ability to provide outstanding care.  If a service costs for example £50, it can not be implemented for £20, and this is happening everywhere.  If it cant be done properly then we need to be allowed to do what we can do, to a high standard.  Sounds simple, because it kind of is?  .  Stop saying yes and learn to say No?",1
Nursing and Midwifery Registered,"The only concern I have is that the trust has a uniform policy that is outdated.  We work with children who are in care and live with foster carers, family members or residential settings.  A lot of the children struggle with being in care and having nurses visiting them in uniform immediately draws attention to them that they don't want.  Some children specifically ask for us not to wear a uniform so we don't stand out when we are visiting the home but the trust is not listening to these children and ordering us to wear a uniform.  I bring this up every year and despite the voice of the child and you said we did campaigns this is not being listened to, we are happy to wear the uniform when required but we want to build meaningful relationships with the children and young people but this is difficult when we are seen to be not listening to their wishes.",1
Nursing and Midwifery Registered,"The organisation appears to be pre-occupied with administration and governance as opposed to direct patient care.  Despite highlighting unsafe practices on a number of occasions, including via the Radar system, the organisation and in particular the department persists in continuing with initiatives and projects that are detrimental to patients and staff.  Staff are not supported clinically in an effective way to deliver these initiatives and this puts patients in direct danger.",1
Nursing and Midwifery Registered,The organisation focuses too much on 'business' rather than patient care.  There are inequalities in the organisation between divisions and overtime/additional staffing approval and this is not consistent across services.  I feel the size of the organisation has an impact on staff experience and staff feeling valued.  The trust continue to take on additional responsibilities when we are unable to safely staff the existing services.,1
Nursing and Midwifery Registered,The organisation has expanded greatly and the changes come in on a frequent basis making it hard to keep up with all the changes.  Service specs change and the information we get about them is limited until it can be seen that we are not meeting KPI's.  There are an increasing number of managers and line management changes regularly which does not give any continuity.  In this rapidly changing occupational climate it's not the nicest place to work.,1
Nursing and Midwifery Registered,"The organisation has got it right.  However, line managers often don't; there are lots of microaggressions.  I'm above you, and you will do as you are told.  Line managers do not understand individuals disabilities or how these impact them.",1
Nursing and Midwifery Registered,The organisation has removed admin and not replaced it appropriately.  Trained nurses are expected to under take admin duties which is not a good resource of their time.,1
Nursing and Midwifery Registered,"The organisation has supported my career development for many years.  I feel valued and will remain working within the trust until I retire, hopefully.",1
Nursing and Midwifery Registered,"The organisation makes too many changes such as formularies, policies, procedures etc.  It is hard to learn what you need to do and then learn again just as you have got used to something.  Some changes do not make sense or work, for example taking off very effective dressings away from the formulary and replacing them with another dressing which is very cheap and does not work.  Training opportunities are lacking, not enough on or get cancelled.  Also some are too far and staff unable to get there due to short staffing.  5-8 working new to district nursing is not working as it should.  In the teams there are very few people that can cover this and it is putting strain on the ones that are doing these shift patterns.  Many of us are working from home after shifts or on days off as the workload is too much.  We are told that we should be able to complete this in the shift but there is no way due to capacity.  Job roles are not desirable such as band 6 district nursing role, too much pressure, lack of support etc.  Staffing levels are poor, certain teams are struggling more than others and the other teams are pulled to support, ongoing issue which never seems to be getting better.  Skill mixes within teams also poor, again putting pressure on people.  Some staff have been treated poorly by the organisation such as not keeping their promise regarding permanent jobs following secondment.  Being told to move to other teams as job not available in their own team.  Some staff not having support from the organisation following incidents such as bullying allegations etc.  Some staff have received more support than other people due to lack of competency/skills and they continue to work in the trust and still not up to scratch many months/years later.  The trust is not doing enough to appropriately deal with situations like this.",1
Nursing and Midwifery Registered,"The support and encouragement from my manager is second to none, not only to myself, but my work colleagues also.  Unfortunately, I feel that the same cannot be said about the trust.  In my opinion, they are so focussed on the business and financial side of things, that the staff are often left misguided, misinformed (or without information) and appear to be wanting to take on the world.",1
Nursing and Midwifery Registered,The team is a wonderful team who are supportive of each other and give excellent peer support.  Our manager is very fair and understanding and will try to accommodate every member of staff and support them however they can.,1
Nursing and Midwifery Registered,The Trust needs to improve its culture and improve speaking up regarding current and previous complaints.,1
Nursing and Midwifery Registered,There appears to be a shortage of staff again and wards running well below numbers.  Staff who cancel bank shifts at last minute should be given consequence of this as it affects staffing.  Same for staff who don't turn up for shift should also be disciplined/consequence as at present it is the belief from staff that they can come and go when they chose and nothing happens to them but their actions imposes on the staff who are on shift and creates a difficult shift with low staffing numbers.,1
Nursing and Midwifery Registered,There are a lot of things within the Trust that need addressing.,1
Nursing and Midwifery Registered,"There are far too many experienced nurses in band 8 + roles leaving very few experienced nurses in clinical environments, leaving no one to supervise newly qualified nurses, which has a direct impact on patient care.  There is little to retain band 5 nurses in band 5 posts, and often they are applying for promotions quickly to earn more money, but lack the experience to do this role well.",1
Nursing and Midwifery Registered,There are no clear objectives or goals to work towards promotion within my organisation.,1
Nursing and Midwifery Registered,"There are so many things that do not work within the trust and are never addressed despite flagging things up on a regular basis.  Poor retention of staff, lack of resources and too much paper work makes the job extremely difficult and causes burn out and people to leave.",1
Nursing and Midwifery Registered,"There are to many process and people involved in simple decision making in order to develop practice; this can be frustrating having to have multiple presentations/conversations outside of the agreed governance process to satisfy a senior colleagues need to be involved.  A governance process is clear and explained, and then there are 2 to 3 more that are introduced along the process with an insinuation a 'process' hasn't been followed.  This is demoralising for teams.  Alongside this Roles and responsibilities are not clear, as above you think you have went to the correct channels and people for approval/consultation and then a new role is introduced and/or the person in a role feels like they should have been involved and the process starts again.",1
Nursing and Midwifery Registered,There does not appear to be any opportunities for progression or flexible working when you are in a small team.  It is a constant top down approach with little or no consultation.,1
Nursing and Midwifery Registered,"There have been many occasions where we have been extremely short staffed and under pressure due to staff sickness/leave, I often feel like we are not supported by the organisation at all during such occasions and staff have been left feeling stressed out and exhausted.",1
Nursing and Midwifery Registered,"There is a serious issue with retention within the trust, especially of senior and experienced nurses'.  We are employing more junior staff without the necessary qualifications and support.  Management is very 'reactive'.  There is covert bullying - lots of micro aggressions.  Some HR employment policies are concerning - verbal feedback after interviews suggesting 'your sickness is awful'.  Suggestion that staff will be demoted if failing courses.  The job itself is lovely and the patient contact is great.  The managers and the trust are not.",1
Nursing and Midwifery Registered,There is currently lots of changes happening in the service I work.  This is exciting and should be a positive experience however the way in which these changes are managed and implemented leave staff feeling vulnerable and unsafe in practice.  The changes are often presented as they happen as in the day of or days before the change with minimal or vague information provided.  Change is often delivered via email and with a flow chart presented to follow.  Often no support or additional training is provided or access to relevant systems to enable to complete the new tasks expected.  The changes that are currently happening involve staff linking in with other services or working in new services with differing systems.  This has left staff feeling frustrate and inadequate.,1
Nursing and Midwifery Registered,"There is no follow through - staff members on stage 3 - no resolution and the staff remain causing undue pressure on teams.  Whilst we all want to be supported and support staff, the fact that HR policies aren't followed through to the end, leaves managers frustrated, with high levels of long term and short term sickness, that places a significant strain on teams/services.  HR should follow their own policies and listen to the managers of that service.",1
Nursing and Midwifery Registered,"There is not enough scope for progression which makes me feel deflated, I feel detached from my team due to caring responsibilities and also feel judged because of it.",1
Nursing and Midwifery Registered,There is some exceptional staff in the Secure Care Division.  It is good to see that sickness absence is being effectively managed now.  There are high numbers of staff attending training and development courses which impacts on ward staffing numbers.,1
Nursing and Midwifery Registered,There is still less number of BAME staff in senior nursing position despite this having been identified in the annual report by [name removed].  Therefore they appears to be unfair promotion as there is still lack of progress in this area.,1
Nursing and Midwifery Registered,There should be a box were you can explain the reason you have given a certain answer.,1
Nursing and Midwifery Registered,Things need to be fair.,1
Nursing and Midwifery Registered,"This organisation has become too big to understand and know what is happening at ward levels and middle and upper management do not care: as long as their audits are done!  .  Ward nurses are leaving to 1 a day now, due to the amount of other peoples work they now have to complete in a day shift, like pharmacy jobs, social workers jobs etc. etc., spending at least half the day (6 to 8 hours) on the computers which never seem to work to complete forms and CPA, which leaves no time to interact with the patients.  The Trust has employed and turned nurses into computer robots that very little ""nursing"" is being done.  .  This Trust is promoting newly qualified nurses into band 6 with as little as 1 month after their preceptorship has finished or a ward manager with less than a years experience: with no clinical experience.  Due to this there is now a ""revolving door"" of the same patients coming in, spending months on the wards and then returning within weeks due to the inexperienced staff employed in the community with no clinical experience.",1
Nursing and Midwifery Registered,This survey is more like a snap shot rather than a reflection of overall working life.  Currently we are extremely short staffed so feeing lots of extra pressure but if I had completed this survey a few months ago I think I would have had a lot more positive responses.,1
Nursing and Midwifery Registered,"Tier of middle management who appear to be ""micro managing"" well functioning teams.  Members of the team have been re-deployed to help other services which has often put the team under pressure with an impact to team and service.",1
Nursing and Midwifery Registered,Too many changes within the service at present.  People cant talk to each other/ friends/ splitting people up friendship groups etc.  Atmosphere at present is not nice.,1
Nursing and Midwifery Registered,Top down management approach is all too evident.,1
Nursing and Midwifery Registered,Toxic bullying risk averse trust that's driven by inexperienced senior.  Leadership with fanciful titles.  Talentless people with little knowledge of their roles who don't care about the well being of the people in their care being led by a High secure risk averse gang of tick box fools.,1
Nursing and Midwifery Registered,"Unable to complete my masters through the trust as I do not have a [details removed] despite having a degree, CPD at level [number removed] and [timeframe removed] experience.  Unable to self fund as I am [details removed].",1
Nursing and Midwifery Registered,"Unfortunately I still feel that there is a pervading ableist attitude that remains in the Trust.  Promotion prospects are probably diminished significantly and many staff fail to declare disabilities due to the concern over discriminatory practice from members of their management team.  Some staff are lucky and have understanding managers but this seems to be a lottery.  Despite the Trusts wish to present itself is none discriminatory this continues with inadequate facilities lack of opportunities of advancement and in some cases negative attitude from colleagues.  This not only harms the individual employee it affects and undermines the quality of service provision delivered by the Trust.  This impacts team dynamics reduces collaboration and stifles innovation.  We seem very good at collecting awards that often in the cold light of day we rarely deserve as the commitment to inclusivity seems lacking, resulting in employment tribunals and staff sickness due to bullying and micro aggressions.  Implementing mandatory training programs focused on disability awareness sensitivity and the importance of inclusiveness can help reshape the cultural attitudes prevalent among staff and management.",1
Nursing and Midwifery Registered,"Unsafe staffing levels.  Lots of good staff leaving due to this.  Increased workload.  Lack of support from higher management.  Things being ""brushed under the carpet"".",1
Nursing and Midwifery Registered,"Very stong clincal leadership across the Trust, keeping the patient centre to quality improvement.",1
Nursing and Midwifery Registered,Very unsettling for the team when staff members are continually being moved to help others for long periods of time.  Makes our service feel very undervalued and not appreciated.  Staff morale is at an all time low staff in the service are feeling very deflated over the way team members are moved.  There is a lot of anxiety in the team about potentially being asked to move at very short notice.,1
Nursing and Midwifery Registered,"We are expected to attend far too many unnecessary meetings, this eats into precious clinical time and results in staff having to do extra work in their own time to catch up.",1
Nursing and Midwifery Registered,We are just too overworked.  Increased workload in community nursing but no extra resources put in.  It is too tiring and not enough work/life balance.  I work until late at night and on days off/annual leave days.,1
